,model,website,type,fullname,price,status,time_to_market,size,resolution,rear_camera,front_camera,battery_size,battery_type,CPU,memory
364,ATU-AL10,http://detail.zol.com.cn/cell_phone/index1210103.shtml,手机,华为畅享8e（全网通）,699,正常,,5.7英寸,1440x720像素,1300万像素+200万像素,500万像素,3000mAh,不可拆卸式电池,八核,3GB
365,Redmi 3S,http://detail.zol.com.cn/cell_phone/index1142036.shtml,手机,小米红米3（移动4G）,699,停产,,5英寸,1280x720像素,1300万像素,500万像素,4100mAh,不可拆卸式电池,真八核,2GB
366,koobee S206M,http://detail.zol.com.cn/cell_phone/index1208902.shtml,手机,酷比S206m（2GB RAM/全网通）,719,正常,,5.5英寸,1280x720像素,800万像素,200万像素,2600mAh,暂无数据,四核,2GB
367,LDN-TL00,http://detail.zol.com.cn/cell_phone/index1246226.shtml,手机,华为nova 4（高配版/全网通）,2799,正常,,6.4英寸,2310x1080像素,4800万像素+1600万像素+200万像素,2500万像素,3750mAh,不可拆卸式电池,4×Cortex A73 2.36GHz+4×Cortex A5....>>,8GB
368,K3DX-V5G,http://detail.zol.com.cn/cell_phone/index1157529.shtml,手机,LG V5（移动4G）,0,概念产品,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
369,HUAWEI CAZ-TL10,http://detail.zol.com.cn/cell_phone/index1157417.shtml,手机,华为nova（CAZ-TL10/标配版/全网通）,1100,停产,2016年10月,5英寸,1920x1080像素,1200万像素,800万像素,3020mAh,不可拆卸式电池,八核,3GB
370,K5,http://detail.zol.com.cn/cell_phone/index1168945.shtml,手机,ivvi K5（全网通）,2699,正常,2017年04月19日,5.5英寸,1920x1080像素,1300万像素,800万像素,3000mAh,不可拆卸式电池,八核,4GB
371,PBFT00,http://detail.zol.com.cn/cell_phone/index1157596.shtml,手机,华为畅享6S（DIG-AL00/全网通）,858,正常,2016年12月24日,5英寸,1280x720像素,1300万像素,500万像素,3020mAh,不可拆卸式电池,八核,3GB
372,F503K,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
373,DOOV L8 Plus,http://detail.zol.com.cn/cell_phone/index1144656.shtml,手机,朵唯L8 Plus（标准版/全网通）,899,停产,,5.5英寸,1920x1080像素,1300万像素,800万像素,2650mAh,不可拆卸式电池,八核,3GB
374,DUA-AL00,http://detail.zol.com.cn/cell_phone/index1170043.shtml,手机,华为nova 2 Plus（BAC-AL00/全网通）,1098,正常,2017年06月,5.5英寸,1920x1080像素,1200万像素+800万像素,2000万像素,3340mAh,不可拆卸式电池,八核,4GB
375,Z999,http://detail.zol.com.cn/cell_phone/index1182280.shtml,手机,中兴Axon M（4GB RAM/全网通）,3299,正常,,5.2英寸,1920x1080像素,2000万像素,暂无数据,3180mAh,暂无数据,四核,4GB
376,SM-G930L,http://detail.zol.com.cn/cell_phone/index398621.shtml,手机,三星GALAXY S7（G9300/全网通）,2378,停产,2016年02月,5.1英寸,2560x1440像素,1200万像素,500万像素,3000mAh,不可拆卸式电池,四核,4GB
377,HRY-AL00T,http://detail.zol.com.cn/cell_phone/index1182274.shtml,手机,华为麦芒6（全网通）,1499,正常,2017年09月,5.9英寸,2160x1080像素,1600万像素+200万像素,1300万像素+200万像素,3340mAh,不可拆卸式电池,八核,4GB
378,C105-6,http://detail.zol.com.cn/cell_phone/index1162216.shtml,手机,酷派cool S1（6GB RAM/全网通）,1199,正常,2016年12月15日,5.5英寸,1920x1080像素,1600万像素,800万像素,4070mAh,不可拆卸式电池,四核,6GB
379,vivo X6SPlus,http://detail.zol.com.cn/cell_phone/index1138164.shtml,手机,vivo X6SPlus（全网通）,1799,停产,,5.7英寸,1920x1080像素,1600万像素,800万像素,3000mAh,不可拆卸式电池,真八核,4GB
380,KEJIAN 160602,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
381,Redmi 3X,http://detail.zol.com.cn/cell_phone/index1252212.shtml,手机,Redmi 7 Pro（全网通）,0,概念产品,,6英寸,2280x1080像素,2000万像素+500万像素+200万像素,800万像素,4100mAh,不可拆卸式电池,八核,6GB
382,HUAWEI MT7-TL00,http://detail.zol.com.cn/cell_phone/index388059.shtml,手机,华为Mate 7（MT7-TL00/高配版/移动4G）,3300,正常,2014年09月,6英寸,1920x1080像素,1300万像素,500万像素,4100mAh,不可拆卸式电池,真八核,3GB
383,kirin,http://detail.zol.com.cn/cell_phone_index/subcate57_list_p26660-s5025_1.html,手机,,0,非售,,,,,,,,,
384,C105-8,http://detail.zol.com.cn/cell_phone/index1162552.shtml,手机,酷派cool S1（4GB RAM/全网通）,1059,正常,2016年12月15日,5.5英寸,1920x1080像素,1600万像素,800万像素,4070mAh,不可拆卸式电池,四核,4GB
385,Coolpad Y75,http://detail.zol.com.cn/cell_phone/index393550.shtml,手机,酷派锋尚（Y75/移动4G）,420,停产,,5.5英寸,960x540像素,800万像素,200万像素,2500mAh,不可拆卸式电池,四核,1GB
386,SM-J7108,http://detail.zol.com.cn/cell_phone/index1137928.shtml,手机,三星2016版GALAXY J7（J7108/双4G）,1095,停产,,5.5英寸,1920x1080像素,1300万像素,500万像素,3300mAh,可拆卸式电池,八核,3GB
387,SM-J7109,http://detail.zol.com.cn/cell_phone/index1140366.shtml,手机,三星2016版GALAXY J7（J7109/电信4G）,780,停产,,5.5英寸,1920x1080像素,1300万像素,500万像素,3300mAh,可拆卸式电池,八核,3GB
388,LA-A1,http://detail.zol.com.cn/cell_phone/index1165878.shtml,手机,金立A1（全网通）,0,即将上市,,5.5英寸,1920x1080像素,1600万像素,1300万像素,4010mAh,暂无数据,4GB,暂无数据
389,JKM-LX1,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
390,Hisense F22M,http://detail.zol.com.cn/cell_phone/index1160456.shtml,手机,海信f20t （电信4G）,288,正常,,5.5英寸,1280x720像素,800万像素,30万像素,2500mAh,可拆卸式电池,四核,1GB
391,SM-G930S,http://detail.zol.com.cn/cell_phone/index398621.shtml,手机,三星GALAXY S7（G9300/全网通）,2378,停产,2016年02月,5.1英寸,2560x1440像素,1200万像素,500万像素,3000mAh,不可拆卸式电池,四核,4GB
392,ivvi i3P-02,http://detail.zol.com.cn/cell_phone/index1161921.shtml,手机,ivvi i3 Play（全网通）,1799,正常,,5.5英寸,1920x1080像素,1600万像素,800万像素,3000mAh,不可拆卸式电池,八核,4GB
393,Redmi 4A,http://detail.zol.com.cn/cell_phone/index1221136.shtml,手机,Redmi 6 Pro（4GB RAM/全网通）,899,正常,,5.84英寸,2280x1080像素,1200万像素+500万像素,500万像素,4000mAh,不可拆卸式电池,八核,4GB
394,MIGO,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
395,LEX622,http://detail.zol.com.cn/cell_phone/index1167364.shtml,手机,乐视乐S3（3GB RAM/全网通）,950,停产,,5.5英寸,1920x1080像素,1600万像素,800万像素,3000mAh,暂无数据,十核,3GB
396,vivo x5s l,http://detail.zol.com.cn/cell_phone/index395014.shtml,手机,vivo X5SL（移动4G）,1998,停产,,5英寸,1280x720像素,1300万像素,500万像素,2250mAh,不可拆卸式电池,八核,2GB
397,BF_T25,http://detail.zol.com.cn/cell_phone/index273559.shtml,手机,华硕T25,0,停产,,3.5英寸,480x320像素,500万像素,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
398,XT1965-6,http://detail.zol.com.cn/cell_phone/index1255312.shtml,手机,Moto G7 Plus（4GB RAM/全网通）,2099,正常,,6.24英寸,2280x1080像素,1600万像素+500万像素,1200万像素,3000mAh,不可拆卸式电池,八核,4GB
399,PAAM00,http://detail.zol.com.cn/cell_phone/index1208720.shtml,手机,OPPO R15梦镜版（梦境红/全网通）,2999,正常,,6.28英寸,2280x1080像素,2000万像素+1600万像素,2000万像素,3400mAh,不可拆卸式电池,八核,6GB
400,HRY-AL00a,http://detail.zol.com.cn/cell_phone/index1168883.shtml,手机,华为畅享7 Plus（TRT-AL00A/4GB RAM/全网通）,908,正常,2017年04月28日,5.5英寸,1280x720像素,1200万像素,800万像素,4000mAh,不可拆卸式电池,八核,4GB
401,koobee M9 Plus,http://detail.zol.com.cn/cell_phone/index1162785.shtml,手机,酷比M9 Plus（全网通）,0,停产,,5.9英寸,1920x1080像素,主,500万像素,4000mAh,不可拆卸式电池,四核,3GB
402,Philips_V787,http://detail.zol.com.cn/cell_phone/index1103045.shtml,手机,飞利浦V787（双4G）,899,正常,,5英寸,1920x1080像素,1300万像素,500万像素,5000mAh,不可拆卸式电池,八核,2GB
403,MI PLAY,http://detail.zol.com.cn/cell_phone/index1246506.shtml,手机,小米Play（全网通）,899,正常,,5.84英寸,2280x1080像素,1200万像素+200万像素,800万像素,2900mAh,不可拆卸式电池,八核,4GB
404,LDN-AL20,http://detail.zol.com.cn/cell_phone/index1210286.shtml,手机,华为畅享8（4GB RAM/全网通）,1199,正常,,5.99英寸,1440x720像素,1300万像素+200万像素,800万像素,3000mAh,不可拆卸式电池,八核,4GB
405,LEX626,http://detail.zol.com.cn/cell_phone/index1159035.shtml,手机,乐视乐S3（4GB RAM/全网通）,759,停产,,5.5英寸,1920x1080像素,1600万像素,800万像素,3000mAh,暂无数据,十核,4GB
406,4081,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
407,koobee S209,http://detail.zol.com.cn/cell_phone/index1167159.shtml,手机,酷比S305（全网通）,399,停产,,5英寸,1280x720像素,500万像素,200万像素,2000mAh,暂无数据,四核,1GB
408,1873-A0,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
409,SM-G7106,http://detail.zol.com.cn/cell_phone/index366245.shtml,手机,三星GALAXY Grand 2（G7106/联通版）,800,停产,2013年11月,5.25英寸,1280x720像素,800万像素,190万像素,2600mAh,暂无数据,四核,1.5GB
410,PE-TL20,http://detail.zol.com.cn/cell_phone/index391705.shtml,手机,荣耀6 Plus（PE-TL20/移动4G）,2280,正常,2014年11月,5.5英寸,1920x1080像素,主,800万像素,3600mAh,不可拆卸式电池,真八核,3GB
411,ATH-TL00H,http://detail.zol.com.cn/cell_phone/index1098941.shtml,手机,荣耀7i（ATH-TL00H/移动4G）,1040,停产,,5.2英寸,1920x1080像素,1300万像素,暂无数据,3090mAh,不可拆卸式电池,真八核,2GB
412,vivo V3Max A,http://detail.zol.com.cn/cell_phone/index1141207.shtml,手机,vivo V3Max（全网通）,1399,停产,,5.5英寸,1920x1080像素,1300万像素,800万像素,3000mAh,不可拆卸式电池,真八核,3GB
413,DOOV L925,http://detail.zol.com.cn/cell_phone/index1202452.shtml,手机,朵唯L925（全网通）,2199,正常,,5.7英寸,1440x720像素,1300万像素,1300万像素+200万像素,2800mAh,不可拆卸式电池,八核,4GB
414,Coolpad Y91-921,http://detail.zol.com.cn/cell_phone/index1140668.shtml,手机,酷派锋尚Pro2（Y91-921/全网通）,458,正常,,5.5英寸,1280x720像素,1300万像素,500万像素,2500mAh,不可拆卸式电池,八核,3GB
415,DOOV A55,http://detail.zol.com.cn/cell_phone/index1271100.shtml,手机,朵唯A55（4GB/64GB/全网通）,789,正常,,5.85英寸,暂无数据,1300万像素（主摄像头）,500万像素,2800mAh,不可拆卸式电池,四核,4GB
416,PCDM10,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
417,vivo Y623,http://detail.zol.com.cn/cell_phone/index1136694.shtml,手机,vivo Y623（联通4G）,705,停产,,4.5英寸,854x480像素,500万像素,200万像素,1900mAh,暂无数据,四核,1GB
418,lephone W9+,http://detail.zol.com.cn/cell_phone/index337068.shtml,手机,NO.1 W9,428,停产,,4英寸,800x480像素,200万像素,30万像素,可拆卸式电池,暂无数据,单核,256MB
419,Coolpad 5270,http://detail.zol.com.cn/cell_phone/index1138889.shtml,手机,酷派5270（全网通）,399,停产,,5英寸,854x480像素,500万像素,30万像素,2000mAh,不可拆卸式电池,四核,1GB
420,L1,http://detail.zol.com.cn/cell_phone/index1167245.shtml,手机,索尼Xperia L1（双4G）,1799,正常,,5.5英寸,1280x720像素,1300万像素,500万像素,2620mAh,暂无数据,四核,2GB
421,SM-N9500,http://detail.zol.com.cn/cell_phone/index1142397.shtml,手机,三星GALAXY S8（G9500/双卡版/全网通）,2398,正常,2017年05月25日,5.8英寸,2960x1440像素,1200万像素,800万像素,3000mAh,不可拆卸式电池,八核,4GB
422,Lenovo L78071,http://detail.zol.com.cn/cell_phone/index1241736.shtml,手机,联想Z5s（4GB RAM/全网通）,1298,正常,,6.3英寸,2340x1080像素,1600万像素+800万像素+500万像素,1600万像素,3300mAh,不可拆卸式电池,八核,4GB
423,OPPO R11s Plust,http://detail.zol.com.cn/cell_phone/index1184231.shtml,手机,OPPO R11s Plus（全网通）,1899,正常,,6.43英寸,2160x1080像素,2000万像素+1600万像素,2000万像素,4000mAh,不可拆卸式电池,八核,6GB
424,WAS-LX1A,http://detail.zol.com.cn/cell_phone/index1213909.shtml,手机,ROG 游戏手机（全网通）,5499,正常,,6英寸,2160x1080像素,1200万像素+800万像素,800万像素,4000mAh,不可拆卸式电池,八核,8GB
425,L3,http://detail.zol.com.cn/cell_phone/index1249810.shtml,手机,索尼Xperia L3（全网通）,0,即将上市,,5.7英寸,1570x720像素,1300万像素+200万像素,800万像素,3300mAh,不可拆卸式电池,八核,3GB
426,LDN-TL10,http://detail.zol.com.cn/cell_phone/index1162687.shtml,手机,华为G9 Plus（MLA-TL10/全网通）,999,正常,,5.5英寸,1920x1080像素,1600万像素,800万像素,3340mAh,不可拆卸式电池,八核,3GB
427,HUAWEI CAZ-TL20,http://detail.zol.com.cn/cell_phone/index1157417.shtml,手机,华为nova（CAZ-TL10/标配版/全网通）,1100,停产,2016年10月,5英寸,1920x1080像素,1200万像素,800万像素,3020mAh,不可拆卸式电池,八核,3GB
428,XT1650,http://detail.zol.com.cn/cell_phone/index1136140.shtml,手机,Moto Z（XT1650-05/全网通）,1399,正常,2016年09月07日,5.5英寸,2560x1440像素,1300万像素,500万像素,2600mAh,不可拆卸式电池,四核,4GB
429,vivo V3Max L,http://detail.zol.com.cn/cell_phone/index1141800.shtml,手机,vivo V3Max（移动4G）,1200,停产,,5.5英寸,1920x1080像素,1300万像素,800万像素,3000mAh,不可拆卸式电池,八核,3GB
430,SM-G6000,http://detail.zol.com.cn/cell_phone/index1098696.shtml,手机,三星GALAXY On7（G6000/1.5GB RAM/全网通）,810,停产,,5.5英寸,1280x720像素,1300万像素,500万像素,3000mAh,可拆卸式电池,四核,1.5GB
431,Readboy_G60S,http://detail.zol.com.cn/cell_phone/index368535.shtml,手机,苹果iPhone 6S（全网通）,4690,正常,2015年09月,4.7英寸,1334x750像素,1200万像素,500万像素,1715mAh,不可拆卸式电池,双核,2GB
432,iPhone 4S,http://detail.zol.com.cn/cell_phone/index298968.shtml,手机,苹果iPhone 4S（白色）,2750,正常,,3.5英寸,960x640像素,800万像素,30万像素,1420mAh,不可拆卸式电池,双核,512MB
433,Redmi 4X,http://detail.zol.com.cn/cell_phone/index1163122.shtml,手机,小米红米Note 4X（3GB RAM/全网通）,798,停产,,5.5英寸,1920x1080像素,1300万像素,500万像素,4100mAh,暂无数据,八核,3GB
434,SM-N9508,http://detail.zol.com.cn/cell_phone/index1184751.shtml,手机,三星GALAXY Note 8（N9508/移动4G）,3699,正常,2017年09月,6.3英寸,2960x1440像素,双1200万像素,800万像素,3300mAh,不可拆卸式电池,八核,6GB
435,S8+,http://detail.zol.com.cn/cell_phone/index1142397.shtml,手机,三星GALAXY S8（G9500/双卡版/全网通）,2398,正常,2017年05月25日,5.8英寸,2960x1440像素,1200万像素,800万像素,3000mAh,不可拆卸式电池,八核,4GB
436,HUAWEI MT7-TL10,http://detail.zol.com.cn/cell_phone/index388065.shtml,手机,华为Mate 7（MT7-TL10/高配版/双4G）,3300,正常,2014年09月,6英寸,1920x1080像素,1300万像素,500万像素,4100mAh,不可拆卸式电池,智能八核,3GB
437,kiw-al10,http://detail.zol.com.cn/cell_phone/index1102760.shtml,手机,荣耀畅玩5X（KIW-AL10/标配版/全网通）,899,正常,2015年10月,5.5英寸,1920x1080像素,1300万像素,500万像素,3000mAh,不可拆卸式电池,八核,3GB
438,vivo X6SPlus A,http://detail.zol.com.cn/cell_phone/index1138164.shtml,手机,vivo X6SPlus（全网通）,1799,停产,,5.7英寸,1920x1080像素,1600万像素,800万像素,3000mAh,不可拆卸式电池,真八核,4GB
439,ZUK Z2151,http://detail.zol.com.cn/cell_phone/index1101723.shtml,手机,联想ZUK Z2 Pro（尊享版/全网通）,2399,正常,,5.2英寸,1920x1080像素,1300万像素,800万像素,3100mAh,不可拆卸式电池,四核,6GB
440,f103,http://detail.zol.com.cn/cell_phone/index403639.shtml,手机,金立F103（1GB RAM/移动4G）,699,停产,,5英寸,1280x720像素,800万像素,500万像素,2400mAh,可拆卸式电池,四核,1GB
441,K10-B,http://detail.zol.com.cn/cell_phone/index1161630.shtml,手机,华为nova青春版（WAS-AL00/全网通）,1399,停产,2017年03月24日,5.2英寸,1920x1080像素,1200万像素,800万像素,3000mAh,不可拆卸式电池,八核,4GB
442,H30-U10,http://detail.zol.com.cn/cell_phone/index367954.shtml,手机,荣耀3C（ H30-U10/2GB RAM/联通3G）,1000,正常,2013年12月,5英寸,1280x720像素,800万像素,500万像素,2300mAh,可拆卸式电池,四核,2GB
443,Lenovo K51c78,http://detail.zol.com.cn/cell_phone/index1102575.shtml,手机,联想乐檬X3（青春版/全网通）,880,停产,,5.5英寸,1920x1080像素,1300万像素,500万像素,3400mAh,不可拆卸式电池,真八核,2GB
444,AR5,http://detail.zol.com.cn/wireless_nic/index291150.shtml,手机,B-Link BL-LW05-AR5,69,非售,,笔记本/台式机,IEEE 802.11n，IEEE 802.11g，IEEE 8....>>,33×16×10mm（不含天线）,暂无数据,,,,
445,R8107,http://detail.zol.com.cn/cell_phone/index390990.shtml,手机,OPPO R5（R8107/移动4G）,1550,正常,2014年10月,5.2英寸,1920x1080像素,1300万像素,500万像素,2000mAh,不可拆卸式电池,真八核,2GB
446,Hisense F23M,http://detail.zol.com.cn/cell_phone/index1148746.shtml,手机,海信金盾（E76/3GB RAM/全网通）,1349,停产,2016年07月,5.5英寸,1920x1080像素,1300万像素,500万像素,3000mAh,不可拆卸式电池,八核,3GB
447,V15-S,http://detail.zol.com.cn/cell_phone/index273715.shtml,手机,苹果iPhone 6（全网通）,5250,正常,2014年09月,4.7英寸,1334x750像素,800万像素,120万像素,1810mAh,不可拆卸式电池,双核,1GB
448,vivo X6SPlus D,http://detail.zol.com.cn/cell_phone/index1138164.shtml,手机,vivo X6SPlus（全网通）,1799,停产,,5.7英寸,1920x1080像素,1600万像素,800万像素,3000mAh,不可拆卸式电池,真八核,4GB
449,SM-J600G,http://detail.zol.com.cn/cell_phone/index1172306.shtml,手机,三星领世旗舰8（双4G）,8666,正常,,4.2英寸,1920x1080像素,1200万像素,500万像素,2300mAh,暂无数据,四核,4GB
450,BND-AL00,http://detail.zol.com.cn/cell_phone/index1157596.shtml,手机,华为畅享6S（DIG-AL00/全网通）,858,正常,2016年12月24日,5英寸,1280x720像素,1300万像素,500万像素,3020mAh,不可拆卸式电池,八核,3GB
451,vivo Y75s,http://detail.zol.com.cn/cell_phone/index1208237.shtml,手机,vivo Y75（4GB RAM/全网通）,1098,正常,,5.7英寸,1440x720像素,1300万像素,1600万像素,3000mAh,不可拆卸式电池,八核,4GB
452,Meitu V4s,http://detail.zol.com.cn/cell_phone/index1145038.shtml,手机,美图V4s（标准版/双4G）,3299,正常,,5英寸,1920x1080像素,2100万像素,2100万像素,2650mAh,不可拆卸式电池,八核,3GB
453,ATU-TL10,http://detail.zol.com.cn/cell_phone/index1210103.shtml,手机,华为畅享8e（全网通）,699,正常,,5.7英寸,1440x720像素,1300万像素+200万像素,500万像素,3000mAh,不可拆卸式电池,八核,3GB
454,1801-T0,http://detail.zol.com.cn/cell_phone/index1213909.shtml,手机,ROG 游戏手机（全网通）,5499,正常,,6英寸,2160x1080像素,1200万像素+800万像素,800万像素,4000mAh,不可拆卸式电池,八核,8GB
455,SM-C9000,http://detail.zol.com.cn/cell_phone/index1153697.shtml,手机,三星GALAXY C9 Pro（C9000/全网通）,2199,正常,,6英寸,1920x1080像素,1600万像素,1600万像素,4000mAh,不可拆卸式电池,八核,6GB
456,Redmi 5A,http://detail.zol.com.cn/cell_phone/index1275176.shtml,手机,Redmi 7A（2GB/16GB/全网通）,549,正常,,5.45英寸,1440x720像素,1300万像素,500万像素,4000mAh,不可拆卸式电池,八核,2GB
457,WNH V2,http://detail.zol.com.cn/cell_phone/index1171650.shtml,手机,ivvi V2（全网通）,746,停产,,5.5英寸,1280x720像素,800万像素,500万像素,2500mAh,不可拆卸式电池,2GB,暂无数据
458,GO T5,http://detail.zol.com.cn/cell_phone/index307716.shtml,手机,金立T5,399,正常,,2.4英寸,320x240像素,30万像素,暂无数据,920mAh,可拆卸式电池,128MB,暂无数据
459,TNY-AL00,http://detail.zol.com.cn/cell_phone/index1170042.shtml,手机,华为nova 2（PIC-AL00/全网通）,1228,正常,,5英寸,1920x1080像素,1200万像素+800万像素,2000万像素,2950mAh,不可拆卸式电池,八核,4GB
460,GO T6,http://detail.zol.com.cn/cell_phone/index310474.shtml,手机,金立T6,699,正常,,400x240像素,暂无数据,200万像素,暂无数据,920mAh,可拆卸式电池,暂无数据,暂无数据
461,DUA-TL00,http://detail.zol.com.cn/cell_phone/index1179566.shtml,手机,华为nova 2 Plus（BAC-TL00/移动全网通）,1459,停产,2017年06月,5.5英寸,1920x1080像素,1200万像素+800万像素,2000万像素,3340mAh,不可拆卸式电池,八核,4GB
462,HLK-AL00,http://detail.zol.com.cn/cell_phone/index1147818.shtml,手机,荣耀8（FRD-AL00/3GB RAM/全网通）,939,正常,2016年07月,5.2英寸,1920x1080像素,双1200万像素,800万像素,3000mAh,不可拆卸式电池,八核,3GB
463,ASTER P,http://detail.zol.com.cn/cell_phone/index1235575.shtml,手机,,0,非售,,,,,,,,,
464,GO T7,http://detail.zol.com.cn/cell_phone/index325328.shtml,手机,金立T7,599,停产,,2.8英寸,400x240像素,200万像素,暂无数据,920mAh,可拆卸式电池,暂无数据,暂无数据
465,SM-A7100,http://detail.zol.com.cn/cell_phone/index1173581.shtml,手机,三星2017版GALAXY C7（全网通）,0,概念产品,,5.5英寸,1920x1080像素,1300万像素+500万像素,1600万像素,2850mAh,暂无数据,八核,3GB/4GB
466,PP5200,http://detail.zol.com.cn/cell_phone/index1155723.shtml,手机,PPTV V1（全网通）,629,停产,,5英寸,1280x720像素,800万像素,200万像素,1950mAh,不可拆卸式电池,四核,2GB
467,lephone T2,http://detail.zol.com.cn/cell_phone/index1158094.shtml,手机,天语T2,89,正常,,2.4英寸,320x240像素,8万像素,暂无数据,800mAh,可拆卸式电池,单核,32MB
468,HTC D728w,http://detail.zol.com.cn/cell_phone/index1099618.shtml,手机,HTC Desire 728（D728w/双4G）,799,停产,,5.5英寸,1280x720像素,1300万像素,500万像素,2800mAh,暂无数据,真八核,2GB
469,SM-G5700,http://detail.zol.com.cn/cell_phone/index1152597.shtml,手机,三星2016版GALAXY On5（G5700/标准版/全网通）,950,停产,,5英寸,1280x720像素,1300万像素,800万像素,2600mAh,不可拆卸式电池,八核,3GB
470,BAH2-AL10,http://detail.zol.com.cn/cell_phone/index1173233.shtml,手机,荣耀9（6GB RAM/全网通）,1599,正常,2017年06月16日,5.15英寸,1920x1080像素,1200万像素+2000万像素,800万像素,3200mAh,不可拆卸式电池,八核,6GB
471,iPhone 5C,http://detail.zol.com.cn/cell_phone/index295505.shtml,手机,苹果iPhone 5C（双3G）,2755,正常,2013年09月,4英寸,1136x640像素,800万像素,120万像素,1510mAh,不可拆卸式电池,双核,1GB
472,XT1943-1,http://detail.zol.com.cn/cell_phone/index1213909.shtml,手机,ROG 游戏手机（全网通）,5499,正常,,6英寸,2160x1080像素,1200万像素+800万像素,800万像素,4000mAh,不可拆卸式电池,八核,8GB
473,SM-N950F,http://detail.zol.com.cn/cell_phone/index1141271.shtml,手机,三星GALAXY C5（C5000/全网通）,1299,正常,2016年05月,5.2英寸,1920x1080像素,1600万像素,800万像素,2600mAh,不可拆卸式电池,八核,4GB
474,GM-T9+,http://detail.zol.com.cn/cell_phone/index400790.shtml,手机,Lovme T9（移动4G）,399,停产,,5英寸,1280x720像素,800万像素,200万像素,2200mAh,暂无数据,四核,1GB
475,iPhone XR,http://detail.zol.com.cn/cell_phone/index1244673.shtml,手机,苹果iPhone XR（国际版/双4G）,4899,正常,,6.1英寸,1792x828像素,1200万像素,700万像素,2942mAh,不可拆卸式电池,六核,3GB
476,BIOJUET V8,http://detail.zol.com.cn/cell_phone/index1208941.shtml,手机,铂爵凯旋V8（全网通）,8999,正常,,5.2英寸,1920x1080像素,1600万像素+500万像素,1300万像素,3700mAh,不可拆卸式电池,八核,6GB
477,HLTE700T,http://detail.zol.com.cn/cell_phone/index1234501.shtml,手机,海信双屏手机A6（全网通）,3999,正常,,6.01英寸,2160x1080像素,1200万像素,1600万像素,3300mAh,不可拆卸式电池,八核,6GB
478,letv x501,http://detail.zol.com.cn/cell_phone/index1138147.shtml,手机,乐视乐1S（X501/太子妃版/双4G）,700,停产,2015年10月,5.5英寸,1920x1080像素,1300万像素,500万像素,3000mAh,不可拆卸式电池,真八核,3GB
479,SM-C9008,http://detail.zol.com.cn/cell_phone/index1179393.shtml,手机,三星GALAXY C9 Pro（C9008/移动4G）,1999,停产,,6英寸,1920x1080像素,1600万像素,1600万像素,4000mAh,不可拆卸式电池,八核,6GB
480,iPhone XS,http://detail.zol.com.cn/cell_phone/index1229519.shtml,手机,苹果iPhone XS（全网通）,5900,正常,,5.8英寸,2436x1125像素,双1200万像素广角及长焦镜头,700万像素,2658mAh,,,4GB
481,AGS2-W09,http://detail.zol.com.cn/cell_phone/index1213909.shtml,手机,ROG 游戏手机（全网通）,5499,正常,,6英寸,2160x1080像素,1200万像素+800万像素,800万像素,4000mAh,不可拆卸式电池,八核,8GB
482,vivo x5pro d,http://detail.zol.com.cn/cell_phone/index1100459.shtml,手机,vivo X5ProD（3G RAM/双4G）,1199,停产,2015年09月,5.2英寸,1920x1080像素,1300万像素,800万像素,2400mAh,不可拆卸式电池,真八核,3GB
483,YU FLY F9,http://detail.zol.com.cn/cell_phone/index1169634.shtml,手机,SUGAR F9（全网通）,1799,正常,,5.5英寸,1920x1080像素,1300万像素,1600万像素,3000mAh,不可拆卸式电池,八核,4GB
484,LG-M700,http://detail.zol.com.cn/cell_phone/index270958.shtml,手机,LG P350（Optimus Me）,930,正常,,2.8英寸,320x240像素,300万像素,暂无数据,1280mAh,可拆卸式电池,单核,140MB
